,Hoechst cells,Hoechst present,Hoechst area,CD3 cells,CD3 present,CD3 area,CD8 cells,CD8 present,CD8 area
count,627519.0,627519,627519.0,627519.0,627519,627519.0,627519.0,627519,627519.0
sum,15956049.0,627225,166149.35711669922,3390533.0,584110,31430.376098632812,1894016.0,449362,18944.88101196289
mean,25.427196626715684,0.9995314882895976,0.2647718349830033,5.403076241516193,0.9308244053168111,0.05008673219238431,3.0182608016649697,0.716093058536873,0.03019013131389311
std,16.124708395622168,0.021640077482315206,0.14332936381359368,6.589065821064045,0.2537527032260882,0.05965758730855366,4.640821825726722,0.45089257482574463,0.047104698017661685
min,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
max,163.0,True,0.8936309814453125,99.0,True,0.7696990966796875,92.0,True,0.757080078125
