,Hoechst cells,Hoechst present,Hoechst area,CD3 cells,CD3 present,CD3 area,CD8 cells,CD8 present,CD8 area
count,475334.0,475334,475334.0,475334.0,475334,475334.0,475334.0,475334,475334.0
sum,12922586.0,475132,133849.38092041016,2733198.0,448694,25371.263946533203,1513501.0,341835,14976.823944091797
mean,27.186327929413842,0.9995750356591365,0.2815901680090424,5.750057854056306,0.9439551978187969,0.05337565574213753,3.1840789844614523,0.7191469577181518,0.03150800057242233
std,16.75913714888448,0.020610304214822822,0.14519080287481032,6.795841805921989,0.2300084642530156,0.061842910754191356,4.948335270866523,0.44941632795738534,0.04985323069355757
min,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
max,163.0,True,0.8936309814453125,99.0,True,0.7696990966796875,92.0,True,0.757080078125
